"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100","101","102","103","104","105","106","107","108","109","110","111","112","113","114","115","116","117","118","119","120","121","122","123","124","125","126","127","128","129","130","131","132","133","134","135","136","137","138","139","140","141","142","143","144","145","146","147","148","149","150","151","152","153","154","155","156","157","158","159","160","161","162","163","164","165","166","167","168","169","170","171","172","173","174","175","176","177","178","179","180","181","182","183","184","185","186","187","188","189","190","191","192","193","194","195","196","197","198","199","200","201","202","203","204","205","206","207","208","209","210","211","212","213","214","215","216","217","218","219","220","221","222","223","224","225","226","227","228","229","230","231","232","233","234","235","236","237","238","239","240","241","242","243","244","245","246","247","248","249","250","251","252","253","254","255","256","257","258","259","260","261","262","263","264","265","266","267","268","269","270","271","272","273","274","275","276","277","278","279","280","281","282","283","284","285","286","287","288","289","290","291","292","293","294","295","296","297","298","299","300","301","302","303","304","305","306","307","308","309","310"
"1",0,0,0.258198889747161,0,0,0,0.344265186329548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.298142396999972,0,0.223606797749979,0,0,0,0,0.131876094679157,0,0,0,0.4,0.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.223606797749979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.258198889747161,0,0,0,0,0.350823207722812,0.178885438199983,0,0.344265186329548,0,0,0,0,0,0.282842712474619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.632455532033676,0.298142396999972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.290190500044005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0725476250110012,0,0.14142135623731,0,0.0975900072948533,0,0.195180014589707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.298142396999972,0,0.223606797749979,0,0,0,0,0.131876094679157,0,0,0,0.169030850945703,0,0.182574185835055,0,0.4,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.248069469178417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.516397779494322,0,0,0,0,0,0,0,0,0,0,0,0,0,0.298142396999972,0,0,0,0,0,0.290190500044005,0,0,0,0,0,0,0.14142135623731,0.0975900072948533,0.195180014589707,0.169030850945703,0.182574185835055,0,0
"2",0,0,0,0,0.223606797749979,0,0.192450089729875,0.188982236504614,0.223606797749979,0,0.204124145231932,0,0,0,0,0,0,0.188982236504614,0,0,0,0,0,0,0.188982236504614,0.166666666666667,0.1,0,0,0.158113883008419,0,0.0944911182523068,0.0737209780774486,0,0,0,0,0,0,0,0,0,0,0.353553390593274,0,1,0,0,0,0.25,0.188982236504614,0,0,0,0,0,0,0,0,0,0.288675134594813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.166666666666667,0.192055319899344,0.158113883008419,0,0,0.121267812518166,0,0,0.229415733870562,0,0,0.188982236504614,0.408248290463863,0.223606797749979,0,0,0,0,0,0,0,0,0,0,0,0,0.223606797749979,0.365148371670111,0,0.098058067569092,0.2,0,0.192450089729875,0,0.188982236504614,0.223606797749979,0,0.204124145231932,0,0,0,0,0.277350098112615,0,0,0,0,0,0,0,0.288675134594813,0,0.0857492925712544,0,0.176776695296637,0,0,0,0.218217890235992,0,0.0577350269189626,0,0,0,0,0,0,0,0,0.188982236504614,0,0.106600358177805,0,0.188982236504614,0,0.158113883008419,0,0.223606797749979,0,0,0,0.121267812518166,0,0.0811107105653813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.188982236504614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.188982236504614,0,0,0,0,0,0,0,0,0.162221421130763,0,0.158113883008419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666666666667,0.1,0,0,0.158113883008419,0,0.0944911182523068,0.0737209780774486,0,0,0,0.377964473009227,0,0,0,0,0,0.267261241912424,0,0.223606797749979,0,0,0.223606797749979,0.204124145231932,0,0,0,0,0,0,0,0.111803398874989,0,0,0,0,0,0,0,0,0,0,0,0.353553390593274,0,0,0,0,0,0,0,0,0.5,0,0.5,0.277350098112615,0.176776695296637,0,0.218217890235992,0.0577350269189626,0,0.106600358177805,0.188982236504614,0.158113883008419,0.223606797749979,0,0.0811107105653813,0,0,0,0,0,0,0.158113883008419,0,0,0.377964473009227,0,0,0
"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.377964473009227,0.288675134594813,0.353553390593274,0.447213595499958,0,0,0.5,0.377964473009227,0.288675134594813,0.353553390593274,0.447213595499958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.666666666666667,0,0.316227766016838,0.316227766016838,0,0.242535625036333,0.516397779494322,0.408248290463863,0.458831467741123,0.577350269189626,0.447213595499958,0.377964473009227,0.408248290463863,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.316227766016838,0,0,0,0,0,0,0,0,0,0,0,0,0,0.342997170285018,0,0.353553390593274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21320071635561,0,0,0,0,0,0,0,0,0,0.242535625036333,0,0.162221421130763,0,0,0,0,0,0,0,0.5,0,0.333333333333333,0,0,0.377964473009227,0.288675134594813,0.353553390593274,0.447213595499958,0,0,0,0,0,0,0.5,0,0.333333333333333,0,0,0.377964473009227,0.288675134594813,0.353553390593274,0.447213595499958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.353553390593274,0,0,0,0,0.21320071635561,0,0,0,0,0.162221421130763,0.333333333333333,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0
"5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",0,0,0,0,0.223606797749979,0,0,0,0,0,0,0,0,0,0,0,0,0.188982236504614,0,0,0,0,0,0,0.188982236504614,0,0.1,0,0,0.158113883008419,0,0,0.147441956154897,0.0800640769025436,0,0,0,0,0,0,0,0,0,0.176776695296637,0,0.25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.158113883008419,0.125,0,0,0,0.114707866935281,0,0,0,0,0,0,0,0,0,0,0,0.0729324957489473,0,0,0,0,0,0.223606797749979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.204124145231932,0,0,0,0,0.204124145231932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.204124145231932,0,0,0.204124145231932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.204124145231932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.188982236504614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.188982236504614,0,0,0,0.204124145231932,0,0,0,0,0,0,0,0,0,0,0,0,0.204124145231932,0,0,0.204124145231932,0,0,0.204124145231932,0,0,0.204124145231932,0,0,0.204124145231932,0,0,0,0,0.1,0,0,0.158113883008419,0,0,0.147441956154897,0.0800640769025436,0,0,0,0,0,0,0,0,0.133630620956212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.176776695296637,0,0.204124145231932,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.980196058819607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.554700196225229,0,0.277350098112615,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.353553390593274,0,0,0,1,0,0.577350269189626,0,0,0,0,0,0,0,0,0.277350098112615,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.970142500145332,0.98489163567642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108465228909328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.53813823519705,0,0.269069117598525,0,0.970142500145332,0.970142500145332,0.970142500145332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.323380833381777,0,0.970142500145332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.342997170285018,0,0,0,0.970142500145332,0,0.560112033611204,0,0,0,0,0,0,0,0,0.269069117598525,0,0,0,0,0.323380833381777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.267261241912424,0,0.11322770341446,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.129099444873581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.196116135138184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.163299316185545,0,0.235702260395516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114707866935281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.267261241912424,0,0.11322770341446,0,0,0,0,0,0,0,0,0.188982236504614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.196116135138184,0,0,0,0.163299316185545,0.235702260395516,0,0,0,0,0,0.114707866935281,0,0,0,0,0,0,0,0,0,0,0,0,0
